Child,Parent,Change,Long.Name,li_a_XXX,li_b_XXX,C_XXX_T15,C_XXX,C_XXX,C_XXX,C_XXX,C_XXX,C_XXX,C_XXX,C_XXX,C_XXX,C_XXX,mum_XXX_T15,mum_XXX,mum_XXX,mum_XXX,mum_XXX,mum_XXX,mum_XXX,mum_XXX,mum_XXX,mum_XXX,mum_XXX
MPF,FMM,0,Migratory mesopelagic fish ,0.011,3.01,NA,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,NA,0.030732943,0.01732943,0.00487329,0.00487329,0.00487329,0.00487329,0.00487329,0.00487329,0.00487329,0.00487329
BUT,FBP,1,Butterfish,0.0116,3,NA,5.3,10.6,16.6,25.7,25.7,25.8,25.8,25.8,25.8,25.8,NA,0.8,1,1.2,1.7,1.9,2.1,2.2,2.9,2.9,2.9
ANC,FBP,1,Anchovies,0.0116,3,NA,5.3,10.6,16.6,25.7,25.7,25.8,25.8,25.8,25.8,25.8,NA,0.8,1,1.2,1.7,1.9,2.1,2.2,2.9,2.9,2.9
BPF,FBP,1,Other benthopelagic fish,0.0116,3,NA,5.3,10.6,16.6,25.7,25.7,25.8,25.8,25.8,25.8,25.8,NA,0.8,1,1.2,1.7,1.9,2.1,2.2,2.9,2.9,2.9
GOO,FDD,0,Monkfish,0.0107,2.91,NA,600,800,900,1600,1800,1900,2100,2200,2200,2200,NA,1.840253411,5.048245614,6.669103314,18.4288499,29.21052632,75.89668616,109.14327485,152.75584795,166.47051657,150
MEN,FDE,1,Atlantic menhaden,0.0123,3.2,NA,2.5,7.5,12,20.8,28.8,28.8,30.8,30.8,35,35,NA,6.030994152,9.30994152,9.511695906,9.3,9.289717349,9.315545809,9.315545809,9.5,9.521832359,9.59
FDE,FDE,1,Shallow demersal fish,0.0123,3.2,NA,2.5,7.5,12,20.8,28.8,28.8,30.8,30.8,35,35,NA,6.030994152,9.30994152,9.511695906,9.3,9.289717349,9.315545809,9.315545809,9.5,9.521832359,9.59
COD,FDS,0,Atlantic cod,0.0118,3.1,NA,50,250,850,1500,1800,2100,2100,2500,2600,2600,NA,2.76608187,33.82675439,78.98330897,155.83089669,252.43116472,305.03045809,305,304.36647173,310.18323587,315
SHK,FDB,0,Silver hake,0.0123,3.1,NA,5,130,160,150,150,180,125,128,130,130,NA,0.12551788499,2.34502924,3.130116959,6.878898635,15.06920078,28.33406433,44.060185185,45,46.873294347,47
OHK,FDC,1,Offshore hake,0.012,3.1,NA,1,5,15,25,45,45,45,45,50,50,NA,0.730019493,3.902777778,5.880969786,8.412768031,12.31920078,18.033869396,21.9,20.949317739,20.5,20
POL,FDC,1,Pollock,0.012,3.1,NA,1,5,15,25,45,45,45,45,50,50,NA,0.730019493,3.902777778,5.880969786,8.412768031,12.31920078,18.033869396,21.9,20.949317739,20.5,20
