"Year","ANC","BIL","BLF","BMS","BPF","BSB","BUT","CLA","COD","DOG","DRM","DSH","FDE","FDF","FLA","FOU","GOO","HAD","HAL","HER","ISQ","LOB","LSK","LSQ","MAK","MEN","MPF","NSH","OHK","OPT","OSH","PLA","POL","PSH","QHG","RCB","RED","REP","RHK","SCU","SDF","SHK","SK","SMO","SSH","STB","SUF","TAU","TUN","TYL","WHK","WIF","WOL","WPF","WSK","WTF","YTF","SCA"
1973,364759.392149161,NA,1762655.46930988,48095.6629592262,1230458.18494958,613685.107390818,18264338.7185601,NA,133546489.181407,266017240.624305,17060547.274333,2946229.7851306,12544517.1773421,110261181.477763,219240.882882176,2002660.07634895,14508797.5765693,57400757.3544314,892752.234857396,3883778.94310212,1230777.36815602,2740030.21145339,17141115.0495862,29734650.9944826,42627103.970831,21528.5597609127,0,NA,243938.151769097,5312476.07090592,2244656.11622457,8641020.87817235,59248006.5000568,1058842.39301141,NA,485291.966149306,113027045.504168,NA,17436068.7327515,4918675.41102799,681465.250349436,22503451.0050075,35955237.0978599,12629238.7821842,727864.305958201,79246.860075,2644129.43542424,61026.6860138889,0,59496.3295416667,32219238.8879495,5102021.60207654,4956455.37031676,11762651.076958,24565895.6837699,12251605.0062158,15396460.3873682,NA
1974,1087628.90556294,NA,4319474.61523976,69302.3714854167,1096664.50686142,2051326.18733634,11656209.8492864,NA,65936279.9233654,208728877.507186,9857433.4537172,3411333.35573477,6065759.2265725,30209727.4661502,68128.7756440972,1792636.27011437,8397147.74234891,47501749.4055936,1287973.19815884,2333328.21660661,1811626.40333129,2919456.4225497,9350376.86021301,31556857.5075955,4267392.39692853,22879.4247291667,4805.43841666667,NA,264086.019922619,2820555.49866181,2352009.9307999,7147054.62525645,54305711.4755697,200567.506951389,NA,221531.888413826,50239592.200594,NA,10095336.0437041,7103317.94174507,282798.586611439,17260679.6192828,26686322.7807055,43116826.8726856,340582.321566667,48481.3357583333,4367846.74506652,10865.8286875,0,39920.2715555556,30390628.9094474,5740527.80615401,5449452.08972029,7379033.29822776,13451094.5401096,7556128.18195092,8074666.80075015,NA
1975,1373367.20562361,NA,4508687.53370058,0,1697198.1145038,1425965.32647503,8689669.34079081,NA,58970863.5179863,189107434.524104,42937865.0688542,5814488.03753542,5249820.88196974,23623548.1777347,181941.201462401,2840741.85803075,9083725.28566487,62609231.6474215,546112.198898838,1045124.84356848,4792331.38555521,2449128.98999721,13182198.4845698,34846268.2227894,850625.749093728,34851.4371546296,10374.5663958333,NA,322239.319527026,2367495.75164329,4502137.48819173,8655897.31551507,46371727.7901277,17153.9860208333,NA,17203.7993301282,67366891.2840259,NA,19850532.9567872,9111680.23547651,444136.715777199,32775750.1087033,16105445.4924279,21636101.1945777,1772987.64299444,172774.71496875,6350877.90822674,107315.999502315,NA,32374.4331331018,23301660.2820384,3066614.48605737,3026605.93679666,4727236.17463156,11582636.6241589,4771303.4336294,4047472.57813351,20485060.2762204
1976,3871275.67822315,NA,3078089.62772752,25128.9568112086,7634624.00007403,1686099.48474036,13086923.2074846,NA,48458100.2485007,170342671.468253,21332880.8928164,1583063.73448921,5662060.31000089,20593355.8073752,179824.94236814,3522032.44509038,11922718.2269157,115022279.014182,2789193.99584745,1173581.9478549,22242893.8549942,2889252.49126709,11060051.1731768,38930229.8274616,2399745.40692986,72704.789157197,6401.40286160714,NA,339388.256463194,2374535.79641946,1697224.62160261,11846430.9408079,129822788.416746,535601.11103761,NA,108341.883799026,45554759.3926992,NA,20779033.0573362,13280627.4204094,91764.1538259575,44884390.5021462,15944010.5508557,16324986.0945344,871757.394410088,NA,4025152.00258093,30343.8379285088,NA,27479.922412037,37057935.2100743,5847972.21846102,2678017.1205407,14989729.762007,13931612.1052956,6693583.44688049,5355269.43051297,NA
1977,996034.317620933,NA,2965577.36313685,6103.56180555556,4226035.28104402,2933751.34734065,13469313.8166149,3300.93785453216,55434255.0096646,175610703.56484,32522324.1125472,1989025.410179,10423562.9468603,24174347.1568397,72809.6447739659,3005319.14535972,14686613.4090279,114813182.616338,1770049.21329157,1131566.95929288,27733411.9153198,5203493.91844579,13183926.3172139,17883869.3259765,844201.749336319,6135.41942083333,0,488833.071128675,249556.615589519,5091643.47448686,904302.168113744,13775268.7165706,62892484.5743007,835135.533147312,NA,200992.181772178,34005468.767746,NA,15990748.454458,12968580.8896372,534736.45616583,24869870.5734368,15908567.8989717,13169123.2127229,462780.555151362,76519.770338141,3994136.32784083,508343.332680556,1965.04916666667,464016.83534838,31891629.4831951,11798603.1455609,2129238.8325716,7385205.7455068,29184122.4536597,6245007.64074447,6053390.85352245,33445768.4436323
1978,1033953.7867097,NA,3076685.08996956,1931229.32688497,11590668.0342078,1426052.99336843,14235084.19438,24922.2342918382,70947961.7361737,593633351.468445,14891702.4591827,2624008.53961567,7691512.76316117,30041464.537546,196506.359865568,6220914.25235054,14847621.6992792,126888031.71339,1597021.55514968,1873609.92269115,14828434.7038255,4201206.26464103,17839678.1239705,14926286.2869636,2516269.83962263,19043.5961689214,29449.9338240741,425924.401326316,475836.075162935,4683318.97180001,1475017.28202909,15313190.8508413,80590948.397168,48989.2711944444,NA,30405.5095979345,38019540.9108685,NA,23172231.8969868,9076467.96886838,181354.666803722,28923050.9992452,19727559.5788162,6363184.60061729,NA,43528.8163888889,2297982.11736694,170254.963111912,0,146052.82501397,29481316.4764635,13724465.8641011,3237258.26660815,7260571.50022465,44129511.4482789,6719123.22022091,6496777.35851295,17267237.5170315
1979,5230690.11320357,NA,3712272.57906364,3696298.14987304,8904945.31411886,1933397.88509585,35456368.7555818,1251.82260147392,56799026.4166557,220042673.808006,9238039.95762056,5001282.03970405,15461550.642067,22804006.236644,76936.3378588034,3609173.90244721,14197224.249654,97877289.9933655,973161.061634145,1956711.47333546,26330653.4693547,3253399.99582251,10810619.3133294,16103678.0794697,956431.391335396,16023.6361479167,1004.8546875,839785.343110953,807170.485098255,2422419.82284386,2122870.36264969,13531364.3039817,65090623.9559878,1114329.8840191,NA,18413.0303934936,41599332.3552371,35728.1666666667,13711918.1511439,3648346.36367387,137620.22640043,17576708.186903,14813048.8448542,14128383.7057971,70689.6664236111,NA,1633002.98506944,54053.5261517857,1579.97892592593,134263.472986111,20394466.2115751,15786095.8959814,3592294.86471583,5417074.26059441,32657143.4889439,4865859.50950524,7165592.55812354,8708666.34054836
1980,2590031.22453869,NA,3522209.16941461,16666.5685026575,11649815.6875741,788107.767589258,26968434.4506905,NA,54051464.3072093,215152721.821235,10526088.0184929,4164057.31718441,8072597.99588232,35574515.8702949,242459.657168943,5518349.455606,11116405.264977,90818732.1267077,1487160.25414639,2331791.91477459,19968494.0022548,4165311.2754594,11716126.397796,17486470.3348814,2710971.5207735,31162.6031912037,6668.66230833333,689967.903899256,1154096.22849549,9264105.87660551,1985582.09484017,17139655.6026614,56838624.2667009,1105809.63838738,NA,61412.3481796131,29705086.5861709,NA,18097163.4628699,2907989.78559924,172481.718868633,20907490.1602358,19989586.613205,7217060.29765198,1482623.9918317,93585.4665625,1860116.72493702,34927.5579986111,119.093888888889,145290.267891162,37713749.7041315,14519449.2886286,2671415.04459939,6625497.5284735,33224621.6565582,7431332.98873148,10547817.3891959,4884549.55705618
1981,3604594.09463705,NA,3950006.23155749,49951.0872645089,24058813.5171938,858741.657610248,20812125.5695286,1558.00326785714,61852440.1609813,328416229.766896,13544658.9371386,2858685.19591984,4423229.66816291,27577528.4948584,161381.03591294,7408728.01039952,12158031.0735019,88194984.1514224,2073943.88861192,2176909.9072121,31173860.6396714,3653987.36461496,14120343.7904206,18363763.744166,9126532.56625809,511173.923751515,22795.3146701389,2318787.35240744,454576.190114707,8801452.83457499,4814796.43216238,20129279.4268951,77195612.8932162,112989.582746528,NA,48763.3625572804,31065326.1914002,2310607.52864583,19250871.8448513,14459339.5404953,164815.13709404,15596472.6367491,18245664.3395525,10266756.5047616,248283.962208333,15541.7525,2129488.17175185,88437.2257888158,0,47566.9498928571,37697108.4781472,14782923.6097089,3566341.47228796,6896488.08790149,44364015.4422508,9223592.88076504,9940483.45445384,4857986.89862523
1982,1117739.16988958,NA,3396559.92285476,138.446645833333,8502423.41956799,444226.670652381,15626531.7451292,NA,103427910.52432,408198948.892102,7937085.83991007,3166691.8314871,6152851.96305708,25037510.8369246,178466.408532086,6590151.43543971,11152897.6580872,47875284.972999,588233.361176355,366030.911470667,2149032.12236864,3541387.12408073,29706712.6151973,21407832.5251539,2996390.66159504,213498.274804861,63577.3953292411,NA,180983.633428819,7011682.14670275,1521470.87907713,9625138.01273199,50182881.7191758,NA,NA,2746.6028125,14387634.5399499,1225848.28506944,15066894.8173999,16978605.4394197,100032.4689146,15104634.0092556,8915241.70839233,12858083.789745,1538162.86397123,NA,3015829.1396282,34080.2049791667,NA,NA,14320814.7349328,10261933.0665254,1723645.55615417,6698514.2647794,46541069.1930272,3811642.1344561,14472830.7414392,9098396.08044762
